,0
1998-01-01,270955486862.442
1999-01-01,195907128350.934
2000-01-01,259710142196.943
2001-01-01,306602070620.5
2002-01-01,345470494417.863
2003-01-01,430347770731.787
2004-01-01,591016690742.798
2005-01-01,764017107992.391
2006-01-01,989930542278.695
2007-01-01,1299705764823.62
2008-01-01,1660846387624.78
2009-01-01,1222644282201.86
2010-01-01,1524917468442.01
2011-01-01,2045925608274.37
2012-01-01,2208295773643.15
2013-01-01,2292473246621.08
2014-01-01,2059241965490.83
2015-01-01,1363481063446.77
2016-01-01,1276786979221.81
2017-01-01,1574199387070.9
2018-01-01,1657329646183.62
2019-01-01,1693113904262.89
2020-01-01,1489362488439.76
2021-01-01,1778782625793.74
